Date,Time,Location,Operator,Flight #,Route,AC  Type,Registration,cn / ln,Aboard,Fatalities,Ground,Summary
"February 03, 1921",,"Mendotta, Minnisota",US Aerial Mail Service,,,De Havilland DH-4,130,,1 (passengers:0 crew:1),1 (passengers:0 crew:1),0.0,Shortly after takeoff from Minneapolis-World Chamberlain Field the engine failed. The aircraft lost altitude and crashed in a field.
"February 09, 1921",,"La Crosse, Wisconsin",US Aerial Mail Service,,,Junkers F-13,301,,3 (passengers:0 crew:3),3 (passengers:0 crew:3),0.0,Crashed for unknown reasons. Both pilots and the mechanic were killed.
"February 15, 1921",,Off Gibraltar,Aeropostale,,,Breguet 14,F-ALBA,,2 (passengers:0 crew:2),2 (passengers:0 crew:2),0.0,The mail fligh encountered poor weather conditions and crashed into the ocean while on approach to Gibraltar. The bodies of the crew were never recovered.
"February 22, 1921",,"Elko, Nevada",US Aerial Mail Service,,,De Havilland DH-4,67,,1 (passengers:0 crew:1),1 (passengers:0 crew:1),0.0,"Shortly after taking off, the aircraft stalled and crashed ."
"April 06, 1921",,"Point Cook, Australia",Military - Royal Australian Air Force,,,Avro 504,H3021,,2 (passengers:0 crew:0),2 (passengers:0 crew:0),0.0,"Shortly after taking off on a training flight, the aircraft dove into the ground and exploded in flames."
"April 21, 1921",,"Mitchel Field, NY",US Aerial Mail Service,,,De Havilland DH-4,160,,1 (passengers:0 crew:1),1 (passengers:0 crew:1),0.0,After taking off the aircraft stalled and crashed.
"April 29, 1921",,"Cleveland, Ohio",US Aerial Mail Service,,,De Havilland DH-4,196,,1 (passengers:0 crew:1),1 (passengers:0 crew:1),0.0,"The aircraft crashed in a field, short of the runway, a few minutes before its scheduled arrival in Cleveland. The weather was poor with fog."
"May 17, 1921",,"Rock Springs, Wyoming",US Aerial Mail Service,,,De Havilland DH-4 De Havilland DH-4,176,,1 (passengers:0 crew:1),1 (passengers:0 crew:1),0.0,Crashed while attempting to land.
"August 14, 1921",,"Toulouse, France",Aeropostale,,,Breguet 14,F-ALBI,,2 (passengers:? crew:?),2 (passengers:? crew:?),0.0,
"August 24, 1921",1740.0,"River Humber, England",Military - Royal Airship Works,,,Royal Airship Works ZR-2 (airship),R-38,R-38,49 (passengers:0 crew:49),43 (passengers:0 crew:43),1.0,"Crashed due to structural failure followed by two explosions and a fire. Attributed to faulty design. This was a test flight before being handed over to the navy. Thirty-two British and 17 Americans were on board, and the survivors were 5 British and 1 American. The fatalities included the designer, Charles Campbell, who had copied a captured German design intended for high-altitude flight, therefore the skeleton was a bit weaker than some. The pilot overstressed it by attempting a turn at 62 mph at low altitude."
"September 06, 1921",,"Paris, France",Franco-Roumaine,,Warsaw - Prague - Strasbourg - Paris,Potez IX,F-ADCD,160,5 (passengers:4 crew:1),5 (passengers:4 crew:1),0.0,Crashed while making an approach to Le Bourget Airport in Paris. Pilot aborted the landing due to another aircraft on the runway.
"December 05, 1921",,"Near Murchinson River, Australia",West Australian Airways,,Geraldton - Derby,Bristol 28 Tourer,G-AUDI,6116,2 (passengers:0 crew:2),2 (passengers:0 crew:2),0.0,On approach to Geraldton the plane crashed near the Murchinson River. Considered the first commercial flight in Australila.
"January 14, 1922",,"Paris, France",Handley Page Transport,,,Handley Page O/10,G-EATN,HP-43,5 (passengers:4 crew:1),5 (passengers:4 crew:1),5.0,Crashed at Le Bourget field.
"February 21, 1922",,"Near Norfolk, Virginia",Military - U.S. Army Air Service,,,Dirigible Roma (airship),,,45 (passengers:? crew:?),34 (passengers:? crew:?),0.0,Crashed from a height of 500 ft. after experiencing control problems cause by malfunctioning controls.
"March 22, 1922",1140.0,North Atlantic Ocean,Aero Limited,,Miami - Bimini,Aeromarine Model 85 (flying boat),,,6 (passengers:5 crew:1),5 (passengers:5 crew:0),0.0,"The plane ditched into the ocean about 40 miles East of Florida after a propeller blade broke. Only the pilot survived, being picked up over 2 days later. The flying boat was named Miss Miami."
"April 07, 1922",1315.0,"Grandvilliers, France",Daimler Airways / Grands Express Aeriens,,Croydon - Le Bourget,de Havilland DH-18 / Farman F-60 Goliath,G-EAOW/FGEAD,4,7 (passengers:5 crew:2),7 (passengers:5 crew:2),0.0,"A midair collision occurred at 400 ft. in poor visibility approximately 18 miles north of Beauvais, France. The pilots of both planes were using the road as a route marker in bad weather and poor visibility. This was the first commercial midair collision in aviation history. Two killed on the de Havilland, five on the Faman F-60."
"April 08, 1922",,"Pao Ting Fou, China",,,Test,,,,17 (passengers:0 crew:17),17 (passengers:0 crew:17),0.0,Aboard were all workers taking part in a flight test. All seventeen aboard were Chinese nationals.
"June 03, 1922",,"Off Folkestone, Kent, England",Cie des Messageries Aeriennes,,Croydon - Paris,Bleriot Spad 27,F-ACMH,555,3 (passengers:2 crew:1),3 (passengers:2 crew:1),0.0,Went down into the English Channel while en route.
"July 04, 1922",,"Fuhlsbuttel, Germany",,,Hamburg - Berlin,LVG C VI,,,3 (passengers:2 crew:1),2 (passengers:1 crew:1),0.0,"The passenger/mail plane lost it's engine while taking off and crashed into trees. Actress Fern Andra survived the accident but her director, Georg Bluen did not. The pilot, Lothar von Richthofen, was also killed. He was a World War I ace and brother of Manfred von Richthofen (The Red Baron)."
"July 16, 1922",1645.0,"Near Saverne, Lorraine, France",Compagnie Franco-Roumaine de Navigaation Aerienne,,Strasbourg - Paris,Potez 29,F-FREI,25,5 (passengers:4 crew:1),5 (passengers:4 crew:1),0.0,Lost an engine and could not make an emergency landing because of gusty winds. Stalled while making a turn and crashed.
"July 26, 1922",,"Cadix, Spain",Grands Express Aeriens,,,Breguet 14,F-ALVE,117,3 (passengers:2 crew:1),3 (passengers:2 crew:1),0.0,"While attempting to make an emergency landing due to engine problems, the aircraft hit telephone lines and crashed."
"September 07, 1922",,"Indianapolis, Indiana",US Aerial Mail Service,,,De Havilland DH-4,227,,1 (passengers:0 crew:1),1 (passengers:0 crew:1),0.0,The plane stalled shortly after takeoff and crashed.
"October 02, 1922",,"Venice, Italy",de Havilland Air Service,,Venice - London,de Havilland DH-9,G-EAYT,14,4 (passengers:3 crew:1),4 (passengers:3 crew:1),0.0,Shortly after taking off the plane crashed into the sea and sank.
"October 25, 1922",,"Larache, Morocco",Grands Express Aeriens,,,Breguet 14,,,2 (passengers:1 crew:1),2 (passengers:1 crew:1),0.0,Crashed under unknown circumstances.
"December 03, 1922",,"Fez, Morocco",Grands Express Aeriens,,Toulouse - Barcelona - Valencia - Alicante - Malaga - Rabat,Breguet 14,F-ALNA,14,1 (passengers:0 crew:1),1 (passengers:0 crew:1),0.0,While flying in foggy conditions the pilot reduced altitude and crashed into a hill.
"January 10, 1923",,"Ajaccio, France",Amee de l'Air,,,Lioré-et-Olivier H-13,F-AEIB,4,4 (passengers:2 crew:2),3 (passengers:1 crew:2),0.0,The plane crashed mid-air due to a structural failure of the tail.
"January 17, 1923",,"Barcelona, Spain",Grands Express Aeriens,,,Breguet 14,F-ALJU,6083-130,1 (passengers:0 crew:1),1 (passengers:0 crew:1),0.0,Crashed into a mountain during a snowstorm.
"January 18, 1923",,"Cheyenne, Wyoming",US Aerial Mail Service,,,De Havilland DH-4,223,,1 (passengers:0 crew:1),1 (passengers:0 crew:1),0.0,Crashed during a mail flight.
"February 26, 1923",,"Meadville, Pennsylvania",US Aerial Mail Service,,,De Havilland DH-4,291,,1 (passengers:0 crew:1),1 (passengers:0 crew:1),0.0,The pilot lost control of the aircraft while on approach in poor weather conditions.
"May 14, 1923",1342.0,"Near Amiens, Picrdie, France",Grands Express Aeriens (Air Union),,Paris - London,Farman F-60 Goliath,F-AEBY,15,6 (passengers:4 crew:2),6 (passengers:4 crew:2),0.0,"Broke-up in mid air after suffering structural failure at 3,000 ft. after a onboard fire weakened the plane's structure losing a wing. Possibly started by a passenger discarding a match after lighting a cigarette."
"August 27, 1923",1730.0,"East Mallling, United Kingdom",Air Union,,Paris - Berck-sur-Mer - Croydon,Farman F.60 Goliath,F-AECB,4,11 (passengers:9 crew:2),1 (passengers:1 crew:0),0.0,"The aircraft lost an engine about 45 minutes into the flight. As the plane was incapable of maintaining level flight with only one engine operating, the pilot decided to make an emergency landing. He asked the mechanic to ask two passengers to move towards the rear of the aircraft. This instruction was apparently misunderstood by the passengers, as four of them moved towards the rear of the aircraft. This affected the center of gravity of the aircraft, which then entered into a spin and crashed."
"August 27, 1923",,"Bucharest, Romania",Campagnie France Roumaine,,,Blériot Spad 46,F-AEGN,28,2 (passengers:1 crew:1),2 (passengers:1 crew:1),0.0,Crashed while on approach to Bucharesst.
"September 07, 1923",,"Colton, Ohio",US Aerial Mail Service,,,De Havilland DH-4,283,,1 (passengers:0 crew:1),1 (passengers:0 crew:1),0.0,Crashed during an emergency landing attempt.
"September 14, 1923",c 18:00,"Near Ivinghoe, Buckinghamshire, England",Daimler Airways,,Croydon - Manchester,de Havilland DH-34,G-EBBS,29,5 (passengers:3 crew:2),5 (passengers:3 crew:2),0.0,Crashed while attempting a forced landing after encountering heavy rain.
"November 18, 1923",,Russia,CCCP,,,Junkers F-13,D-257,,5 (passengers:2 crew:3),3 (passengers:1 crew:2),0.0,Crashed during a training flight.
"December 06, 1923",,"Castalia, Ohio",US Aerial Mail Service,,,De Havilland DH-4,318,,1 (passengers:0 crew:1),1 (passengers:0 crew:1),0.0,Crashed under unknown circumstances.
"December 23, 1923",c 02:30,Over the Mediterranean Sea,Military - French Navy,,Toulon - Algiers,Zeppelin Dixmunde (airship),L-72,,52 (passengers:? crew:?),52 (passengers:? crew:?),0.0,"Crashed while on a flight from Toulon, France to Algiers, Algeria. The last known radio contact reported the ship nearly out of fuel and battling strong winds. Struck by lightning."
"December 24, 1923",,"Egbert, WY",US Aerial Mail Service,,,De Havilland DH-4,315,,1 (passengers:0 crew:1),1 (passengers:0 crew:1),0.0,Crashed into a montain in poor weather conditions.
"March 07, 1924",,"Grampian, Pennsylvania",US Aerial Mail Service,,,De Havilland DH-4,327,,1 (passengers:0 crew:1),1 (passengers:0 crew:1),0.0,Crashed during a snowstorm.
"April 24, 1924",,Over the English Channel,KLM Royal Dutch Airlines,,"Lympne, England - Rotterdam, The Netherlands",Fokker F.III,H-NABS,1535,3 (passengers:2 crew:1),3 (passengers:2 crew:1),0.0,The aircraft disappeared over the North Sea. The plane and passengers were never found.
"June 08, 1924",,"Barranquilla, Colombia",SCADTA,,Barranquilla - Bogota,Junkers F-13,A16,684,5 (passengers:3 crew:2),5 (passengers:3 crew:2),0.0,Stalled after taking off and crashed into houses..
"August 01, 1924",,United States,US Aerial Mail Service,,,De Havilland DH-4,297,,1 (passengers:0 crew:1),1 (passengers:0 crew:1),0.0,"The pliot made a low pass in honor of another pilot who had died, stalled and cashed."
"November 06, 1924",,"Cabrerolles, France",Grands Express Aeriens,,,Breguet 14,F-AFBD,,1 (passengers:0 crew:1),1 (passengers:0 crew:1),0.0,"While en route the pilot encountered thunderstorms, lost control and crashed."
"December 21, 1924",,"Goshen, Indiana",US Aerial Mail Service,,,De Havilland DH-4,311,,1 (passengers:0 crew:1),1 (passengers:0 crew:1),0.0,"Lost in a snowstorm, the pilot decided to bail out of the plane but was killed."
"December 24, 1924",c 12:00,"Purley, England",Imperial Airways,,London - Paris,de Havilland DH-34B,G-EBBX,36,8 (passengers:7 crew:1),8 (passengers:7 crew:1),0.0,"Shortly after taking off, witnesses observed a puff of white smoke after which the plane nose-dived into the ground. Crashed due to an unknown mechanical failure and subsiquent stall. Captain Stewart and seven passengers were killed in an attempted forced landing."
"March 22, 1925",,"Near Tiflis, Georgia, USSR",Zakavia,,Tiflis - Suchumi,Junkers F-13,R-RECA,590,5 (passengers:3 crew:2),5 (passengers:3 crew:2),0.0,Shortly after take off the plane went out of control and crashed in flames.
"April 25, 1925",,"Alicante, Spain",Grands Express Aeriens,,Alicante - Barcelona - Toulouse,Breguet 14,F-AFBB,202,3 (passengers:1 crew:2),3 (passengers:1 crew:2),0.0,"Shortly after takeoff, while flying at a low altitude, in poor visibility, the, aircraft hit a lightning rod, stalled and crashed."
"June 25, 1925",,"Landrécies, France",KLM Royal Dutch Airlines,,Amsterdam - Paris,Fokker (KLM) F.III,H-NABM,1502,4 (passengers:3 crew:1),4 (passengers:3 crew:1),0.0,"While in a turn in bad weather, the right wing struck trees and the plane crashed. Failure of an aileron in flight."
"June 26, 1925",,"Alicante, Spain",Grands Express Aeriens,,Oran - Alicante,Lioré-et-Olivier LeO H-13,F-FREM,,2 (passengers:0 crew:2),2 (passengers:0 crew:2),0.0,While attempting to land the seaplane hit a lightning mast and crashed.
"July 20, 1925",,"Rosas, Spain",Lignes Aeriennes Latecoere,,Toulouse - Barcelona,Breguet 14,F-AFBI,209,1 (passengers:0 crew:1),1 (passengers:0 crew:1),0.0,Crashed in unknown circumstance.
"July 24, 1925",,"Budapest, Hungary",CIDNA,,,Potez IX,,,1 (passengers:0 crew:1),1 (passengers:0 crew:1),0.0,Crashed while attempting to land 10 km from the airport
"September 03, 1925",530,"Caldwell, Ohio",Military - U.S. Navy,,"Lakehurst, NJ - S.t Louis, MO",Dirigible ZR-1 Shenandoah (airship),ZR-1,,43 (passengers:0 crew:43),14 (passengers:0 crew:14),0.0,"The Shenandoah was flying over Southern Ohio when she abruptly encountered violent atmospheric conditions (thunderstorms). Powerful air currents buffeted her so severely that her crew was unable to maintain control. Rising rapidly above her pressure height, then falling and rising again, her hull structure was overstressed amidships, breaking the airship in two. Shenandoah's external control car and two engine cars fell free, carrying the dirigible's commanding officer and several other men to their deaths. The stern section came down nearby, while several men were able to fly the bow section to ground as a free balloon. The airship was the first one inflated with helium instead of hydrogen, which may have saved lives since it did not explode when it came apart. The airship was the first one inflated with helium instead of hydrogen, which may have saved lives since it did not explode when it came apart."
"September 07, 1925",,"Toul, France",CIDNA,,,Spad 33,,,? (passengers:? crew:?),? (passengers:? crew:?),,
"October 01, 1925",,"Mt. Nittany, Ohio",US Aerial Mail Service,,New York - San Francisco,De Havilland DH-4,385,,1 (passengers:0 crew:1),1 (passengers:0 crew:1),0.0,Crashed into a wooded area on Mt. Nittany in fog and low visibility.
"November 14, 1925",,"Nouadhibou, Mauritania",Lignes Aeriennes Latecoere,,,Breguet 14,F-AEGZ,168,1 (passengers:0 crew:1),1 (passengers:0 crew:1),0.0,The pilot suffered sunstroke lost control of the plane and crashed.
"November 14, 1925",,"Off Boulogne-sur-Mer, France",Air Union,,,Farman F-60 Goliath,F-FHMY,,2 (passengers:? crew:?),2 (passengers:? crew:?),0.0,
"February 12, 1926",,"Montpelier, Ohio",US Aerial Mail Service,,,Curtiss Carrier Pigeon,602,,1 (passengers:0 crew:1),1 (passengers:0 crew:1),0.0,"While the mail plane was flying at a low altitude, the aircraft hit trees and crashed in a wooded area."
"March 08, 1926",,"Staaken, Germany",Deutche Lufthansa,,,Junkers F-13,D-290 D-290,665,1 (passengers:0 crew:1),1 (passengers:0 crew:1),0.0,While in a training filight the aircraft stalled and crashed while attempting to land.
"May 31, 1926",,English Channel,Air Union,,Paris - Cryodon,Breguet 14,F-ADAI,1908,1 (passengers:0 crew:1),1 (passengers:0 crew:1),0.0,The mail plane crashed into the English Channel and was never found.
"July 03, 1926",,"Rossaugpt, Czechoslovakia",Compagnie Internationale de Navigation Aérienne,,Paris - Prague - Budapest,Caudron C-61,F-AFBT,5307,6 (passengers:4 crew:2),6 (passengers:4 crew:2),0.0,Crashed while en route into a mountain in adverse weather conditions. The pilot was flying at too low of an altitude.
"July 09, 1926",930,"Wolvertem, Belgium",KLM Royal Dutch Airlines,,Amsterdam - Rotterdam - Brussels - Paris,Fokker F7,H-NACC,4759,2 (passengers:1 crew:1),2 (passengers:1 crew:1),0.0,Crashed into the ground while descending in poor weather.
