"","Date","Time","Location","Operator","Flight #","Route","AC  Type","Registration","cn / ln","Aboard","Fatalities","Ground","Summary","formatted_date","formatted_time","total_aboard","passengers_aboard","crew_aboard","total_fatalities","passengers_fatalities","crew_fatalities","fixed_location","latitude","longitude"
"11","October 01, 1916","2345.0","Potters Bar, England","Military - German Navy",NA,NA,"Zeppelin L-31 (airship)",NA,NA,"19 (passengers:0 crew:19)","19 (passengers:0 crew:19)",0,"Shot down in flames by the British 39th Home Defence Squadron.",1916-10-01,23:45:00,19,0,19,19,0,19,"Potters Bar, England",51.692286,-0.1786978
"12","November 21, 1916",NA,"Mainz, Germany","Military - German Army",NA,NA,"Super Zeppelin (airship)",NA,NA,"28 (passengers:? crew:?)","27 (passengers:? crew:?)",0,"Crashed in a storm.",1916-11-21,NA,28,NA,NA,27,NA,NA,"Mainz, Germany",50.001958999,8.271855001
"13","November 28, 1916","2345.0","Off West Hartlepool, England","Military - German Navy",NA,NA,"Zeppelin L-34 (airship)",NA,NA,"20 (passengers:? crew:?)","20 (passengers:? crew:?)",0,"Shot down by British anti-aircraft fire and aircraft and crashed into the North Sea.",1916-11-28,23:45:00,20,NA,NA,20,NA,NA,"West Hartlepool, England",54.68333,-1.2
"14","March 04, 1917",NA,"Near Gent, Belgium","Military - German Army",NA,NA,"Airship",NA,NA,"20 (passengers:? crew:?)","20 (passengers:? crew:?)",0,"Caught fire and crashed.",1917-03-04,NA,20,NA,NA,20,NA,NA,"Gent, Belgium",51.074430535,3.725452707
"15","March 30, 1917",NA,"Off Northern Germany","Military - German Navy",NA,NA,"Schutte-Lanz S-L-9 (airship)",NA,NA,"23 (passengers:? crew:?)","23 (passengers:? crew:?)",0,"Struck by lightning and crashed into the Baltic Sea.",1917-03-30,NA,23,NA,NA,23,NA,NA,"Northern Germany",52.343407939,9.608368538
"16","May 14, 1917","515.0","Near Texel Island, North Sea","Military - German Navy",NA,NA,"Zeppelin L-22 (airship)",NA,NA,"21 (passengers:? crew:?)","21 (passengers:? crew:?)",0,"Crashed into the sea from an altitude of 3,000 ft. after being hit by British aircraft fire.",1917-05-14,05:15:00,21,NA,NA,21,NA,NA,"Texel Island, North Sea",31.2158422,-81.3129434
"17","June 14, 1917","845.0","Off Vlieland Island, North Sea","Military - German Navy",NA,NA,"Zeppelin L-43 (airship)",NA,NA,"24 (passengers:? crew:?)","24 (passengers:? crew:?)",0,"Shot down by British aircraft.",1917-06-14,08:45:00,24,NA,NA,24,NA,NA,"Vlieland Island, North Sea",53.27443,4.9796
"18","June 17, 1917",NA,"Near Yarmouth, England",NA,NA,NA,"Zepplin L-48 (air ship)","L-48",NA,"16 (passengers:? crew:?)","14 (passengers:? crew:?)",0,"Shot down by aircraft.",1917-06-17,NA,16,NA,NA,14,NA,NA,"Yarmouth, England",50.7062398,-1.497245482
"19","August 21, 1917","700.0","Off western Denmark","Military - German Navy",NA,NA,"Zeppelin L-23 (airship)",NA,NA,"18 (passengers:? crew:?)","18 (passengers:? crew:?)",0,"Shot down by British aircraft.",1917-08-21,07:00:00,18,NA,NA,18,NA,NA,"western Denmark",-32.51978,115.73347
"20","October 20, 1917","745.0","Near Luneville, France","Military - German Navy",NA,NA,"Zeppelin L-44 (airship)",NA,NA,"18 (passengers:? crew:?)","18 (passengers:? crew:?)",0,"Shot down by French anti-aircraft fire.",1917-10-20,07:45:00,18,NA,NA,18,NA,NA,"Luneville, France",48.59273,6.49383
"21","April 07, 1918","2130.0","Over the Mediterranean","Military - German Navy",NA,NA,"Zeppelin L-59 (airship)",NA,NA,"23 (passengers:? crew:?)","23 (passengers:? crew:?)",0,"Exploded and crashed into the sea off the southern coast of Italy.",1918-04-07,21:30:00,23,NA,NA,23,NA,NA,"the Mediterranean",22.386071653,114.272251744
"22","August 05, 1918",NA,"Off Helgoland Island, Germany","Military - German Navy",NA,NA,"Zeppelin L-70 (airship)",NA,NA,"22 (passengers:? crew:?)","22 (passengers:? crew:?)",0,"Shot down by British aircraft crashing from a height of 17,000 ft.",1918-08-05,NA,22,NA,NA,22,NA,NA,"Helgoland Island, Germany",54.18213,7.88458
"23","August 11, 1918","1000.0","Ameland Island, North Sea","Military - German Navy",NA,NA,"Zeppelin L-53 (airship)",NA,NA,"19 (passengers:? crew:?)","19 (passengers:? crew:?)",0,"Shot down by british aircraft.",1918-08-11,10:00:00,19,NA,NA,19,NA,NA,"Ameland Island, North Sea",53.44762,5.79256
"24","December 16, 1918",NA,"Elizabeth, New Jersey","US Aerial Mail Service",NA,NA,"De Havilland DH-4","97",NA,"1 (passengers:0 crew:1)","1 (passengers:0 crew:1)",0,"Carl Smith was killed when his mail plane feet 500 feet while attempting to land. He tried to reposition the aircraft after the wind shifted and lost control of the plane and dived into the ground.",1918-12-16,NA,1,0,1,1,0,1,"Elizabeth, New Jersey",40.6619274,-74.2116531
"25","May 25, 1919",NA,"Cleveland, Ohio","US Aerial Mail Service",NA,NA,"De Havilland DH-4","61",NA,"1 (passengers:0 crew:1)","1 (passengers:0 crew:1)",0,"Caught fire in midair. The pilot leaped from the plane to his death as the plane began to go into a dive.",1919-05-25,NA,1,0,1,1,0,1,"Cleveland, Ohio",41.5051414,-81.6914575
"26","July 19, 1919",NA,"Dix Run, Pennsylvania","US Aerial Mail Service",NA,NA,"De Havilland DH-4","82",NA,"1 (passengers:0 crew:1)","1 (passengers:0 crew:1)",0,"The mail plane crashed under unknown circumstances.",1919-07-19,NA,1,0,1,1,0,1,"Dix Run, Pennsylvania",40.89423,-77.88889
"27","July 21, 1919","1655.0","Chicago, Illinois","Wingfoot Air Express Goodyear Tire",NA,"Shuttle","FD Type Dirigible",NA,NA,"? (passengers:? crew:?)","3 (passengers:2 crew:1)",10,"The dirigible, cruising at 1,200 ft. caught fire and crashed into the Illinois Trust and Savings Building in Chicago. The was transporting people from Grant Park to the White City amusement park.[1] One crew member, two passengers, and ten bank employees were killed",1919-07-21,16:55:00,NA,NA,NA,3,2,1,"Chicago, Illinois",41.883229,-87.632398
"28","August 02, 1919",NA,"Verona, Italy","Caproni Company",NA,"Venice Taliedo","Caproni Ca.48",NA,NA,"14 (passengers:12 crew:2)","14 (passengers:12 crew:2)",0,"As the plane was passing over Verona the wings began to flutter and then collapsed and crashed. Sources differ as to the number of deaths with some reporting 15 or 17.",1919-08-02,NA,14,12,2,14,12,2,"Verona, Italy",45.4383527,10.9917125
"29","October 02, 1919",NA,"Newcastle, England","Aircraft Transport and Travel",NA,NA,"De Havilland DH-4",NA,NA,"1 (passengers:0 crew:1)","1 (passengers:0 crew:1)",0,NA,1919-10-02,NA,1,0,1,1,0,1,"Newcastle, England",54.97328,-1.61396
"30","October 14, 1919",NA,"Cantonsville, Maryland","US Aerial Mail Service",NA,NA,"Curtiss R-4LM","32",NA,"1 (passengers:0 crew:1)","1 (passengers:0 crew:1)",0,"The pilot was performing a mail flight to Baltimore. While on final approach, in fog, the aircraft hit tree tops and crashed into the woods.",1919-10-14,NA,1,0,1,1,0,1,"Cantonsville, Maryland",39.265074,-76.741056
"31","October 20, 1919",NA,"English Channel off Forkstone, Kent","Aircraft Transport and Travel",NA,NA,"De Havilland DH-4","G-EAHG",NA,"0 (passengers:0 crew:1)","0 (passengers:0 crew:0)",0,"Crashed into the sea while attempting to land in fog.",1919-10-20,NA,0,0,1,0,0,0,"English Channel Forkstone, Kent",51.089036387005,1.194440535389
"32","October 30, 1919",NA,"Long Valley, New Jersey","US Aerial Mail Service",NA,NA,"De Havilland DH.4","77","77.0","1 (passengers:0 crew:1)","1 (passengers:0 crew:1)",0,"While on a mail flight to New York the pilot encountered bad weather conditions and reduced his altitude to maintain a visual contact with the ground. Eventually, he decided to make an emergency landing in Long Valley, west of Newark. Aircraft hit the ground and crashed.",1919-10-30,NA,1,0,1,1,0,1,"Long Valley, New Jersey",40.794535,-74.797325
"33","December 11, 1919",NA,"Catherham, Surrey, UK","Aircraft Travel Transport",NA,"Paris - Hounslow","de Havilland DH-4","G-EAHF",NA,"1 (passengers:1 crew:1)","1 (passengers:1 crew:1)",0,"Crashed in a field while attemptting to land.",1919-12-11,NA,1,1,1,1,1,1,"Catherham, Surrey, UK",51.281912205,-0.078763272
"34","March 10, 1920",NA,"New Paris, Indiana","US Aerial Mail Service",NA,NA,"De Havilland DH-4","65",NA,"1 (passengers:0 crew:1)","1 (passengers:0 crew:1)",0,"While on a a mail flight, the aircraft hit trees in fog and crashed in a wooded area.",1920-03-10,NA,1,0,1,1,0,1,"New Paris, Indiana",41.50047,-85.83058
"35","March 30, 1920",NA,"Newark, New Jersey","US Aerial Mail Service",NA,"Washington - Newark","De Havilland DH-4","72",NA,"1 (passengers:0 crew:1)","1 (passengers:0 crew:1)",0,"George Sherlock was killed when his mail plane crashed into a chimney while attempting to land at Heller Field in poor visibility.",1920-03-30,NA,1,0,1,1,0,1,"Newark, New Jersey",40.731507,-74.1743877
"36","April 10, 1920",NA,"Newark, New Jersey","US Aerial Mail Service",NA,NA,"Curtiss R-4LM","49",NA,"2 (passengers:1 crew:1)","1 (passengers:0 crew:1)",0,"After a fire erupted in flight the pilot decided to make an emergency landing but the aircraft crashed.",1920-04-10,NA,2,1,1,1,0,1,"Newark, New Jersey",40.731507,-74.1743877
"37","April 11, 1920",NA,"Heller Field, New Jersey","US Aerial Mail Service",NA,NA,"Curtiss JN-4H","44",NA,"2 (passengers:1 crew:1)","1 (passengers:0 crew:1)",0,"The aircraft crashed while on approach for unknown reasons.",1920-04-11,NA,2,1,1,1,0,1,"Heller Field, New Jersey",41.066881495559,-74.184548493561
"38","May 12, 1920",NA,"Oskaloosa, Iowa","US Aerial Mail Service",NA,NA,"De Havilland DH-4","79",NA,"2 (passengers:1 crew:1)","1 (passengers:1 crew:0)",0,"In worsening weather conditions, the pilot lost his sense of orientation and crashed in a field.",1920-05-12,NA,2,1,1,1,1,0,"Oskaloosa, Iowa",41.296244,-92.645022
"39","June 06, 1920",NA,"Cleveland, Ohio","US Aerial Mail Service",NA,NA,"De Havilland DH-4","204",NA,"1 (passengers:0 crew:1)","1 (passengers:0 crew:1)",0,"The aircraft suffered engine failure and crashed shortly after taking off.",1920-06-06,NA,1,0,1,1,0,1,"Cleveland, Ohio",41.5051414,-81.6914575
"40","July 20, 1920",NA,"Cartagena, Columbia","Compañia Colombiana de Navegación Aérea",NA,NA,"Farman F-40",NA,NA,"1 (passengers:1 crew:1)","1 (passengers:1 crew:1)",0,"Crashed while taking off after engine failure. Engine failure due to fuel exhaustion.",1920-07-20,NA,1,1,1,1,1,1,"Cartagena, Columbia",10.39972,-75.51444
"41","August 16, 1920",NA,"Bedford, England","By Air",NA,NA,"Armstrong-Whitworth F-K-8","G-EALW",NA,"1 (passengers:0 crew:1)","1 (passengers:0 crew:1)",0,"The plane crashed during a cargo flight under unknown circumstances.",1920-08-16,NA,1,0,1,1,0,1,"Bedord, England",52.1357092,-0.4680442
"42","August 16, 1920",NA,"College Park, Maryland","US Aerial Mail Service",NA,NA,"De Havilland DH-4","317",NA,"1 (passengers:0 crew:1)","1 (passengers:0 crew:1)",0,"While approaching in poor visibility to land, the plane hit a radio mast and crashed in flames.",1920-08-16,NA,1,0,1,1,0,1,"College Park, Maryland",38.987195,-76.946
"43","September 01, 1920",NA,"Morristown, New Jersey","US Aerial Mail Service",NA,NA,"Junkers JL-6","305",NA,"2 (passengers:0 crew:2)","2 (passengers:0 crew:2)",0,"While en route, the mail plane went out of control and crashed after experiencing an in flight fire.",1920-09-01,NA,2,0,2,2,0,2,"Morristown, New Jersey",40.79664,-74.481595
"44","September 15, 1920",NA,"Pemberville, Ohio","US Aerial Mail Service",NA,NA,"Junkers F-13","308",NA,"2 (passengers:? crew:?)","2 (passengers:? crew:?)",0,"The pilot crashed after attempting to make an emergency landing after the engine caught fire.",1920-09-15,NA,2,NA,NA,2,NA,NA,"Pemberville, Ohio",41.413169,-83.454482
"45","September 27, 1920",NA,"Hillersburg, Pennsylvania","US Aerial Mail Service",NA,NA,"De Havilland DH-4","316",NA,"1 (passengers:0 crew:1)","1 (passengers:0 crew:1)",0,"The plane struck power lines and crashed in flames after flying at a low altitude in poor visibility.",1920-09-27,NA,1,0,1,1,0,1,"Hillersburg, Pennsylvania",39.949951,-77.150514
"46","October 02, 1920",NA,"Off Port Vendres, France","Latecoere Airlines",NA,NA,"Salmson 2-A-2","F-ALAI","31.0","2 (passengers:1 crew:1)","2 (passengers:1 crew:1)",0,"Crashed into the Mediterranean while on a mail flight.",1920-10-02,NA,2,1,1,2,1,1,"Port Vendres, France",42.519572827,3.107233574
"47","October 05, 1920",NA,"Valencia, Spain","Latecoere Airlines",NA,NA,"Breguet 14","F-ALTA","20.0","2 (passengers:1 crew:1)","2 (passengers:1 crew:1)",0,"While on a mail flight the plane crashed while attempting to land.",1920-10-05,NA,2,1,1,2,1,1,"Valencia, Spain",39.4702393,-0.3768049
"48","October 15, 1920",NA,"Batavia, Illinois","US Aerial Mail Service",NA,NA,"De Havilland DH-4","76",NA,"1 (passengers:0 crew:1)","1 (passengers:0 crew:1)",0,"While attempting to land in fog the aircraft hit an obstruction and crashed.",1920-10-15,NA,1,0,1,1,0,1,"Batavia, Illinois",41.8522225,-88.3122678
"49","November 07, 1920",NA,"Tie Siding, Wyoming","US Aerial Mail Service",NA,NA,"De Havilland DH-4",NA,"178.0","1 (passengers:0 crew:1)","1 (passengers:0 crew:1)",0,"The aircraft crashed into a mountain in poor weather condtions.",1920-11-07,NA,1,0,1,1,0,1,"Tie Siding, Wyoming",41.080111,-105.507759
"50","December 14, 1920","1215.0","London, England","Handley Page Transport",NA,"London - Paris","Handley Page HP-16","G-EAMA","HP-25","8 (passengers:6 crew:2)","4 (passengers:2 crew:2)",0,"The plane failed to gain altitude after taking off from Criclklewood and crashed into a tree and a house. Pilot error in taking off towards a hill in unfavorable wind conditions and fog.The first commercial air disaster to result in passenger fatalities during a regularly scheduled service..",1920-12-14,12:15:00,8,6,2,4,2,2,"London, England",51.5001524,-0.1262362
"51","December 24, 1920",NA,"Barcelona, Spain","Aeropostale",NA,NA,"Breguet 14","F-ALBO","57","1 (passengers:0 crew:1)","1 (passengers:0 crew:1)",0,"The aircraft stalled and crashed when an engine failed.",1920-12-24,NA,1,0,1,1,0,1,"Barcelona, Spain",41.387917,2.1699187
"52","February 03, 1921",NA,"Mendotta, Minnisota","US Aerial Mail Service",NA,NA,"De Havilland DH-4","130",NA,"1 (passengers:0 crew:1)","1 (passengers:0 crew:1)",0,"Shortly after takeoff from Minneapolis-World Chamberlain Field the engine failed. The aircraft lost altitude and crashed in a field.",1921-02-03,NA,1,0,1,1,0,1,"Mendotta, Minnisota",44.886893,-93.162131
"53","February 09, 1921",NA,"La Crosse, Wisconsin","US Aerial Mail Service",NA,NA,"Junkers F-13","301",NA,"3 (passengers:0 crew:3)","3 (passengers:0 crew:3)",0,"Crashed for unknown reasons. Both pilots and the mechanic were killed.",1921-02-09,NA,3,0,3,3,0,3,"La Crosse, Wisconsin",43.808767,-91.25186
"54","February 15, 1921",NA,"Off Gibraltar","Aeropostale",NA,NA,"Breguet 14","F-ALBA",NA,"2 (passengers:0 crew:2)","2 (passengers:0 crew:2)",0,"The mail fligh encountered poor weather conditions and crashed into the ocean while on approach to Gibraltar. The bodies of the crew were never recovered.",1921-02-15,NA,2,0,2,2,0,2,"Gibraltar",36.136007669,-5.348661839
"55","February 22, 1921",NA,"Elko, Nevada","US Aerial Mail Service",NA,NA,"De Havilland DH-4","67",NA,"1 (passengers:0 crew:1)","1 (passengers:0 crew:1)",0,"Shortly after taking off, the aircraft stalled and crashed .",1921-02-22,NA,1,0,1,1,0,1,"Elko, Nevada",40.8357337,-115.7594561
"56","April 06, 1921",NA,"Point Cook, Australia","Military - Royal Australian Air Force",NA,NA,"Avro 504","H3021",NA,"2 (passengers:0 crew:0)","2 (passengers:0 crew:0)",0,"Shortly after taking off on a training flight, the aircraft dove into the ground and exploded in flames.",1921-04-06,NA,2,0,0,2,0,0,"Point Cook, Australia",-37.9086023,144.7521218
"57","April 21, 1921",NA,"Mitchel Field, NY","US Aerial Mail Service",NA,NA,"De Havilland DH-4","160",NA,"1 (passengers:0 crew:1)","1 (passengers:0 crew:1)",0,"After taking off the aircraft stalled and crashed.",1921-04-21,NA,1,0,1,1,0,1,"Mitchel Field, NY",40.72306,-73.59389
"58","April 29, 1921",NA,"Cleveland, Ohio","US Aerial Mail Service",NA,NA,"De Havilland DH-4","196",NA,"1 (passengers:0 crew:1)","1 (passengers:0 crew:1)",0,"The aircraft crashed in a field, short of the runway, a few minutes before its scheduled arrival in Cleveland. The weather was poor with fog.",1921-04-29,NA,1,0,1,1,0,1,"Cleveland, Ohio",41.5051414,-81.6914575
"59","May 17, 1921",NA,"Rock Springs, Wyoming","US Aerial Mail Service",NA,NA,"De Havilland DH-4 De Havilland DH-4","176",NA,"1 (passengers:0 crew:1)","1 (passengers:0 crew:1)",0,"Crashed while attempting to land.",1921-05-17,NA,1,0,1,1,0,1,"Rock Springs, Wyoming",41.590479,-109.223373
"60","August 14, 1921",NA,"Toulouse, France","Aeropostale",NA,NA,"Breguet 14","F-ALBI",NA,"2 (passengers:? crew:?)","2 (passengers:? crew:?)",0,NA,1921-08-14,NA,2,NA,NA,2,NA,NA,"Toulouse, France",43.604595206,1.444217454
"61","August 24, 1921","1740.0","River Humber, England","Military - Royal Airship Works",NA,NA,"Royal Airship Works ZR-2 (airship)","R-38","R-38","49 (passengers:0 crew:49)","43 (passengers:0 crew:43)",1,"Crashed due to structural failure followed by two explosions and a fire. Attributed to faulty design. This was a test flight before being handed over to the navy. Thirty-two British and 17 Americans were on board, and the survivors were 5 British and 1 American. The fatalities included the designer, Charles Campbell, who had copied a captured German design intended for high-altitude flight, therefore the skeleton was a bit weaker than some. The pilot overstressed it by attempting a turn at 62 mph at low altitude.",1921-08-24,17:40:00,49,0,49,43,0,43,"Ri Humber, England",50.567243,-3.555078
"62","September 06, 1921",NA,"Paris, France","Franco-Roumaine",NA,"Warsaw - Prague - Strasbourg - Paris","Potez IX","F-ADCD","160","5 (passengers:4 crew:1)","5 (passengers:4 crew:1)",0,"Crashed while making an approach to Le Bourget Airport in Paris. Pilot aborted the landing due to another aircraft on the runway.",1921-09-06,NA,5,4,1,5,4,1,"Paris, France",48.863697576,2.361657337
"63","December 05, 1921",NA,"Near Murchinson River, Australia","West Australian Airways",NA,"Geraldton - Derby","Bristol 28 Tourer","G-AUDI","6116","2 (passengers:0 crew:2)","2 (passengers:0 crew:2)",0,"On approach to Geraldton the plane crashed near the Murchinson River. Considered the first commercial flight in Australila.",1921-12-05,NA,2,0,2,2,0,2,"Murchinson Ri, Australia",-27.689655,114.2100937
"64","January 14, 1922",NA,"Paris, France","Handley Page Transport",NA,NA,"Handley Page O/10","G-EATN","HP-43","5 (passengers:4 crew:1)","5 (passengers:4 crew:1)",5,"Crashed at Le Bourget field.",1922-01-14,NA,5,4,1,5,4,1,"Paris, France",48.863697576,2.361657337
"65","February 21, 1922",NA,"Near Norfolk, Virginia","Military - U.S. Army Air Service",NA,NA,"Dirigible Roma (airship)",NA,NA,"45 (passengers:? crew:?)","34 (passengers:? crew:?)",0,"Crashed from a height of 500 ft. after experiencing control problems cause by malfunctioning controls.",1922-02-21,NA,45,NA,NA,34,NA,NA,"Norolk, Virginia",36.8461592,-76.2858937
"66","March 22, 1922","1140.0","North Atlantic Ocean","Aero Limited",NA,"Miami - Bimini","Aeromarine Model 85 (flying boat)",NA,NA,"6 (passengers:5 crew:1)","5 (passengers:5 crew:0)",0,"The plane ditched into the ocean about 40 miles East of Florida after a propeller blade broke. Only the pilot survived, being picked up over 2 days later. The flying boat was named Miss Miami.",1922-03-22,11:40:00,6,5,1,5,5,0,"North Atlantic Ocean",31.643337612541,-37.333264967404
"67","April 07, 1922","1315.0","Grandvilliers, France","Daimler Airways / Grands Express Aeriens",NA,"Croydon - Le Bourget","de Havilland DH-18 / Farman F-60 Goliath","G-EAOW/FGEAD","4","7 (passengers:5 crew:2)","7 (passengers:5 crew:2)",0,"A midair collision occurred at 400 ft. in poor visibility approximately 18 miles north of Beauvais, France. The pilots of both planes were using the road as a route marker in bad weather and poor visibility. This was the first commercial midair collision in aviation history. Two killed on the de Havilland, five on the Faman F-60.",1922-04-07,13:15:00,7,5,2,7,5,2,"Grandvilliers, France",49.665348306,1.939769797
"68","April 08, 1922",NA,"Pao Ting Fou, China",NA,NA,"Test",NA,NA,NA,"17 (passengers:0 crew:17)","17 (passengers:0 crew:17)",0,"Aboard were all workers taking part in a flight test. All seventeen aboard were Chinese nationals.",1922-04-08,NA,17,0,17,17,0,17,"Pao Ting Fou, China",24.14599,106.6084
"69","June 03, 1922",NA,"Off Folkestone, Kent, England","Cie des Messageries Aeriennes",NA,"Croydon - Paris","Bleriot Spad 27","F-ACMH","555","3 (passengers:2 crew:1)","3 (passengers:2 crew:1)",0,"Went down into the English Channel while en route.",1922-06-03,NA,3,2,1,3,2,1,"Folkestone, Kent, England",51.0787177,1.1740852
"70","July 04, 1922",NA,"Fuhlsbuttel, Germany",NA,NA,"Hamburg - Berlin","LVG C VI",NA,NA,"3 (passengers:2 crew:1)","2 (passengers:1 crew:1)",0,"The passenger/mail plane lost it's engine while taking off and crashed into trees. Actress Fern Andra survived the accident but her director, Georg Bluen did not. The pilot, Lothar von Richthofen, was also killed. He was a World War I ace and brother of Manfred von Richthofen (The Red Baron).",1922-07-04,NA,3,2,1,2,1,1,"Fuhlsbuttel, Germany",53.633581659,10.025900921
"71","July 16, 1922","1645.0","Near Saverne, Lorraine, France","Compagnie Franco-Roumaine de Navigaation Aerienne",NA,"Strasbourg - Paris","Potez 29","F-FREI","25","5 (passengers:4 crew:1)","5 (passengers:4 crew:1)",0,"Lost an engine and could not make an emergency landing because of gusty winds. Stalled while making a turn and crashed.",1922-07-16,16:45:00,5,4,1,5,4,1,"Sane, Lorraine, France",49,6
"72","July 26, 1922",NA,"Cadix, Spain","Grands Express Aeriens",NA,NA,"Breguet 14","F-ALVE","117","3 (passengers:2 crew:1)","3 (passengers:2 crew:1)",0,"While attempting to make an emergency landing due to engine problems, the aircraft hit telephone lines and crashed.",1922-07-26,NA,3,2,1,3,2,1,"Cadix, Spain",36.52672,-6.2891
"73","September 07, 1922",NA,"Indianapolis, Indiana","US Aerial Mail Service",NA,NA,"De Havilland DH-4","227",NA,"1 (passengers:0 crew:1)","1 (passengers:0 crew:1)",0,"The plane stalled shortly after takeoff and crashed.",1922-09-07,NA,1,0,1,1,0,1,"Indianapolis, Indiana",39.76845,-86.156212
"74","October 02, 1922",NA,"Venice, Italy","de Havilland Air Service",NA,"Venice - London","de Havilland DH-9","G-EAYT","14","4 (passengers:3 crew:1)","4 (passengers:3 crew:1)",0,"Shortly after taking off the plane crashed into the sea and sank.",1922-10-02,NA,4,3,1,4,3,1,"Venice, Italy",45.434608,12.338913
"75","October 25, 1922",NA,"Larache, Morocco","Grands Express Aeriens",NA,NA,"Breguet 14",NA,NA,"2 (passengers:1 crew:1)","2 (passengers:1 crew:1)",0,"Crashed under unknown circumstances.",1922-10-25,NA,2,1,1,2,1,1,"Larache, Morocco",35.1901601,-6.1482496
